Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_30_885.jpg;0;0;1;0;99.66999;85.58897;0.0002331648;54.70264;-1.692826E-06
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_30_932.jpg;-0.993372;0;0;0;99.66999;85.58897;0.0002334882;54.64305;-1.300755E-06
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_30_982.jpg;-4.987716;0;0;0;99.66999;85.58897;0.0002329002;53.92986;1.811755E-06
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_31_048.jpg;-2.909916;0;0;0;99.66999;85.58897;0.0002328898;53.28143;4.648771E-06
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_31_098.jpg;-0.003114045;0;0;0;99.66999;85.58897;0.0002333502;53.22087;5.094443E-06
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_31_148.jpg;0;0;0;0;99.66999;85.58897;0.0002335696;53.22087;5.111138E-06
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_31_199.jpg;0;0;0;0;99.66999;85.58897;0.0002336032;53.22087;5.009862E-06
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_31_248.jpg;0;0;0;0;99.66999;85.58897;0.0002334851;53.22087;5.026824E-06
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_31_298.jpg;0;0;0;0;99.66999;85.58897;0.0002333839;53.22087;4.993167E-06
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_31_348.jpg;0;0;0;0;99.66999;85.58897;0.0002334512;53.22087;4.790628E-06
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_31_398.jpg;0;0;0;0;99.66999;85.58897;0.0002332486;53.22087;4.723282E-06
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_31_465.jpg;0;0;0;0;99.66999;85.58897;0.0002332147;53.22087;4.487079E-06
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_31_515.jpg;0;0;0;0;99.66999;85.58897;0.0002330122;53.22087;4.41974E-06
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_31_582.jpg;0;0.1048059;0;0;99.67006;85.58907;0.003065246;53.2212;3.653342E-06
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_31_632.jpg;0;0.2497161;0;0;99.67023;85.58929;0.009894131;53.20491;-2.581852E-05
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_31_681.jpg;0;0.4501587;0;0.02514377;99.67155;85.59106;0.05783925;53.05531;9.872764E-05
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_31_748.jpg;0;0.6086517;0;0.04751328;99.67398;85.59429;0.1402545;52.9501;0.0002755129
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_31_815.jpg;0;0.800256;0;0.09115744;99.67863;85.60043;0.2931452;52.89186;0.0004941212
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_31_865.jpg;0;1;0;0.1264309;99.6853;85.6092;0.493681;52.80425;-0.000601866
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_31_932.jpg;0;1;0;0.1723936;99.69393;85.62053;0.7189484;52.92984;-0.00162678
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_31_981.jpg;0;1;0;0.2227982;99.70481;85.63487;0.9733613;53.01358;-0.001920734
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_048.jpg;0;1;0;0.2659214;99.71782;85.65208;1.242753;53.0716;-0.000536376
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_115.jpg;0;1;0;0.326178;99.73063;85.66862;1.323844;53.16528;-0.005517891
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_181.jpg;0;1;0;0.3844284;99.74774;85.69103;1.12926;53.16882;-0.001098673
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_249.jpg;0;1;0;0.4411522;99.76316;85.71154;1.051167;53.27152;3.762573E-05
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_298.jpg;0;1;0;0.4965254;99.78119;85.73547;1.04519;53.22984;9.876069E-05
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_366.jpg;0;1;0;0.5385433;99.80172;85.7627;1.100468;53.14071;-0.0001259549
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_415.jpg;0;1;0;0.6050986;99.81656;85.78237;1.158418;53.12849;-0.0005007338
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_465.jpg;0;1;0;0.6069466;99.84024;85.81377;1.249892;53.20507;-0.0007201159
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_516.jpg;0;1;0;0.674913;99.85642;85.83527;1.264826;53.12779;-0.0009657998
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_565.jpg;0;1;0;0.6876385;99.88167;85.86873;1.227741;53.14455;-0.00201801
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_615.jpg;0;1;0;0.7668156;99.89953;85.89238;1.197711;53.07914;-0.000206098
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_665.jpg;0;1;0;0.8025181;99.92857;85.93071;1.201759;53.03379;-0.0004458213
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_732.jpg;0;1;0;0.8556985;99.95945;85.97141;1.214833;53.0266;-0.0008872168
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_781.jpg;0;1;0;0.8844191;99.99211;86.01447;1.222349;52.96079;-0.0006677229
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_831.jpg;0;1;0;0.9306289;100.0149;86.04449;1.224103;52.95158;-0.0008780931
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_881.jpg;0;1;0;0.9848679;100.0505;86.09125;1.21639;52.94421;-0.0008114545
D:\MS - ISU Stuff\Coursework\ME592\SIm App Data\IMG\robocam_2024_03_25_17_35_32_948.jpg;0;1;0;1.016726;100.0877;86.14019;1.209678;52.96656;-0.0005207845
